--------------------------------
time: Fri May 20 14:28:31 2016
----------- process: ------------
Name: System Idle Process, PID: 0, Usage: 4096
Name: Dhcp, Type: Share Process, Works for: 1148
Name: DiagTrack, Type: Own Process, Works for: 2084
Name: Dnscache, Type: Share Process, Works for: 1008
Name: DoSvc, Type: Share Process, Works for: 1188
Name: DPS, Type: Share Process, Works for: 1748
Name: DsSvc, Type: Share Process, Works for: 92
Name: EventLog, Type: Share Process, Works for: 1148
Name: EventSystem, Type: Share Process, Works for: 1196
Name: FontCache, Type: Share Process, Works for: 1196
Name: hidserv, Type: Share Process, Works for: 92
Name: iphlpsvc, Type: Share Process, Works for: 1188
Name: KeyIso, Type: Share Process, Works for: 684
Name: LanmanServer, Type: Share Process, Works for: 1188
Name: LanmanWorkstation, Type: Share Process, Works for: 1008
Name: lfsvc, Type: Share Process, Works for: 1188
Name: LicenseManager, Type: Share Process, Works for: 1196
Name: lmhosts, Type: Share Process, Works for: 1148
Name: LSM, Type: Unknown, Works for: 840
Name: MpsSvc, Type: Share Process, Works for: 1748
Name: NcbService, Type: Share Process, Works for: 92
Name: netprofm, Type: Share Process, Works for: 1196
Name: NlaSvc, Type: Share Process, Works for: 1008
Name: nsi, Type: Share Process, Works for: 1196
Name: PcaSvc, Type: Share Process, Works for: 92
Name: PlugPlay, Type: Share Process, Works for: 840
Name: PolicyAgent, Type: Share Process, Works for: 3264
Name: Power, Type: Share Process, Works for: 840
Name: ProfSvc, Type: Share Process, Works for: 1188
Name: RpcEptMapper, Type: Share Process, Works for: 896
Name: RpcSs, Type: Share Process, Works for: 896
Name: SamSs, Type: Share Process, Works for: 684
Name: Schedule, Type: Share Process, Works for: 1188
Name: seclogon, Type: Share Process, Works for: 1188
Name: SENS, Type: Share Process, Works for: 1188
Name: Service KMSELDI, Type: Own Process, Works for: 2172
Name: SessionEnv, Type: Share Process, Works for: 1188
Name: ShellHWDetection, Type: Share Process, Works for: 1188
Name: Spooler, Type: Own Process, Works for: 2024
Name: SQLWriter, Type: Own Process, Works for: 7180
Name: SSDPSRV, Type: Share Process, Works for: 420
Name: StateRepository, Type: Share Process, Works for: 2100
Name: stisvc, Type: Own Process, Works for: 2160
Name: StorSvc, Type: Share Process, Works for: 92
Name: SysMain, Type: Share Process, Works for: 92
Name: SystemEventsBroker, Type: Share Process, Works for: 840
Name: TermService, Type: Share Process, Works for: 1008
Name: Themes, Type: Share Process, Works for: 1188
Name: tiledatamodelsvc, Type: Share Process, Works for: 2100
Name: TimeBroker, Type: Share Process, Works for: 420
Name: TrkWks, Type: Share Process, Works for: 92
Name: UmRdpService, Type: Share Process, Works for: 92
Name: UserManager, Type: Share Process, Works for: 1188
Name: UsoSvc, Type: Share Process, Works for: 1188
Name: VaultSvc, Type: Share Process, Works for: 684
Name: W32Time, Type: Share Process, Works for: 1196
Name: Wcmsvc, Type: Share Process, Works for: 1148
Name: WdiServiceHost, Type: Share Process, Works for: 1196
Name: WinHttpAutoProxySvc, Type: Share Process, Works for: 1196
Name: Winmgmt, Type: Share Process, Works for: 1188
Name: WlanSvc, Type: Share Process, Works for: 92
Name: wscsvc, Type: Share Process, Works for: 1148
Name: WSearch, Type: Own Process, Works for: 6620
Name: wuauserv, Type: Share Process, Works for: 1188
Name: wudfsvc, Type: Share Process, Works for: 92
